date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:51:46	39216/39216	---M--	200	added ('OK')	text/html	date:Wed,%2018%20Nov%202020%2007:51:42%20GMT	https://vietcuongtran29.myportfolio.com/	I:/Code/html/template/vietcuongtran29.myportfolio.com/vietcuongtran29.myportfolio.com/index.html	(from )
14:51:55	11553/11553	---M--	200	added ('OK')	text/css	etag:%225fae0092-2d21%22	https://vietcuongtran29.myportfolio.com/dist/css/main.css	I:/Code/html/template/vietcuongtran29.myportfolio.com/vietcuongtran29.myportfolio.com/dist/css/main.css	(from https://vietcuongtran29.myportfolio.com/)
14:52:16	39216/39216	---M--	200	added ('OK')	text/html	date:Wed,%2018%20Nov%202020%2007:52:15%20GMT	https://vietcuongtran29.myportfolio.com/work	I:/Code/html/template/vietcuongtran29.myportfolio.com/vietcuongtran29.myportfolio.com/work.html	(from https://vietcuongtran29.myportfolio.com/)
14:52:16	17285/17285	---M--	200	added ('OK')	text/html	date:Wed,%2018%20Nov%202020%2007:52:15%20GMT	https://vietcuongtran29.myportfolio.com/contact	I:/Code/html/template/vietcuongtran29.myportfolio.com/vietcuongtran29.myportfolio.com/contact.html	(from https://vietcuongtran29.myportfolio.com/)
14:52:16	38393/38393	---M--	200	added ('OK')	text/html	date:Wed,%2018%20Nov%202020%2007:52:15%20GMT	https://vietcuongtran29.myportfolio.com/3d-modeling	I:/Code/html/template/vietcuongtran29.myportfolio.com/vietcuongtran29.myportfolio.com/3d-modeling.html	(from https://vietcuongtran29.myportfolio.com/)
14:52:20	17539/17539	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2018%20Nov%202020%2007:52:19%20GMT	http://use.typekit.net/ik/d8QzycXb2ibNE07AEIoiKLMdTlMA-QtwNF8BvnX-qY6feCCgfHYEBsJzwD9oFDIDWhJhjDscFDSojQ6hFQ9DFQ8yjQmcjAFRjDjaFAjX5AwXFDJtZeBRFcj-mkG0dW83da4XZcNC-Av0jhNlOfG0SY4zwKuh-AmaOcuoSeNkieZzde8zOcFzdPUlpWgzS1scdhUTdkoRdhXCSY4zwKuh-AmaOcuoSeNkieZzde8zOcFzdPJId18XpPGHfw_OMsMMeMb6MKGHfwDOMsMMeM96MKGHfwxOMsMMeMj6MKGHfwWOMsMMeMS6MTMgDFEaXM9.js?cb=1821048f5d7ee5ba2403403dff53a2f45ef4a513	I:/Code/html/template/vietcuongtran29.myportfolio.com/use.typekit.net/ik/d8QzycXb2ibNE07AEIoiKLMdTlMA-QtwNF8BvnX-qY6feCCgfHYEBsJzwD9oFDIDWhJhjDscFDSojQ6hFQ9DFQ8yjQmcjAFRjDjaFAjX5AwXFDJtZeBRFcj-mkG0dW83da4XZcNC-Av0jhNlOfG0SY4zwKuh-AmaOcu	(from https://vietcuongtran29.myportfolio.com/)
14:52:44	39988/39988	---M--	200	added ('OK')	text/html	date:Wed,%2018%20Nov%202020%2007:52:40%20GMT	https://vietcuongtran29.myportfolio.com/motion-exercises	I:/Code/html/template/vietcuongtran29.myportfolio.com/vietcuongtran29.myportfolio.com/motion-exercises.html	(from https://vietcuongtran29.myportfolio.com/)
14:53:27	923/923	---M--	200	added ('OK')	image/png	etag:%2207448c56cd9f289c76bc5cf5a4e3ea10%22	https://pro2-bar-s3-cdn-cf.myportfolio.com/30362569-0eed-4a59-8214-12444cf2217b/bb832364-9b69-46a9-969f-ea2399a55918_carw_4x3x32.png?h=7ffbd3a10823c2353cd75531c597b6b4	I:/Code/html/template/vietcuongtran29.myportfolio.com/pro2-bar-s3-cdn-cf.myportfolio.com/30362569-0eed-4a59-8214-12444cf2217b/bb832364-9b69-46a9-969f-ea2399a55918_carw_4x3x32caa1.png	(from https://vietcuongtran29.myportfolio.com/)
14:53:36	40141/40141	---M--	200	added ('OK')	text/html	date:Wed,%2018%20Nov%202020%2007:53:35%20GMT	https://vietcuongtran29.myportfolio.com/music-app-ui-design	I:/Code/html/template/vietcuongtran29.myportfolio.com/vietcuongtran29.myportfolio.com/music-app-ui-design.html	(from https://vietcuongtran29.myportfolio.com/)
14:53:37	1410/1410	---M--	200	added ('OK')	image/png	etag:%2271fa52ebb0fb171df25c5af9cef52bcd%22	https://pro2-bar-s3-cdn-cf3.myportfolio.com/30362569-0eed-4a59-8214-12444cf2217b/ece47862-e7b5-46e1-bc9b-df1c321a81f8_carw_4x3x32.png?h=a0b14de8cae88ae49c3d3b6885709510	I:/Code/html/template/vietcuongtran29.myportfolio.com/pro2-bar-s3-cdn-cf3.myportfolio.com/30362569-0eed-4a59-8214-12444cf2217b/ece47862-e7b5-46e1-bc9b-df1c321a81f8_carw_4x3x323179.png	(from https://vietcuongtran29.myportfolio.com/)
14:53:37	40143/40143	---M--	200	added ('OK')	text/html	date:Wed,%2018%20Nov%202020%2007:53:36%20GMT	https://vietcuongtran29.myportfolio.com/logo-design	I:/Code/html/template/vietcuongtran29.myportfolio.com/vietcuongtran29.myportfolio.com/logo-design.html	(from https://vietcuongtran29.myportfolio.com/)
14:53:37	898/898	---M--	200	added ('OK')	image/png	etag:%22d4bf29ed795fb73555f97ee74e491305%22	https://pro2-bar-s3-cdn-cf.myportfolio.com/30362569-0eed-4a59-8214-12444cf2217b/b579c1b6-85da-44f4-b423-a5c5ab783e84_carw_4x3x32.png?h=dd4fbaff65ec53991210f126266dc8a6	I:/Code/html/template/vietcuongtran29.myportfolio.com/pro2-bar-s3-cdn-cf.myportfolio.com/30362569-0eed-4a59-8214-12444cf2217b/b579c1b6-85da-44f4-b423-a5c5ab783e84_carw_4x3x323ede.png	(from https://vietcuongtran29.myportfolio.com/)
14:53:37	38420/38420	---M--	200	added ('OK')	text/html	date:Wed,%2018%20Nov%202020%2007:53:36%20GMT	https://vietcuongtran29.myportfolio.com/liliana-poster-design	I:/Code/html/template/vietcuongtran29.myportfolio.com/vietcuongtran29.myportfolio.com/liliana-poster-design.html	(from https://vietcuongtran29.myportfolio.com/)
14:53:38	23687/23687	---M--	200	added ('OK')	image/jpeg	etag:%223b6bd8fb9c8baf0a5150174acacdab79%22	https://pro2-bar-s3-cdn-cf2.myportfolio.com/30362569-0eed-4a59-8214-12444cf2217b/3c428002-ba33-4068-ad1a-9eeb528a64a5_carw_4x3x32.jpg?h=ab3b37bf40b607b5905ca2d5c0c9c04c	I:/Code/html/template/vietcuongtran29.myportfolio.com/pro2-bar-s3-cdn-cf2.myportfolio.com/30362569-0eed-4a59-8214-12444cf2217b/3c428002-ba33-4068-ad1a-9eeb528a64a5_carw_4x3x32bf82.jpg	(from https://vietcuongtran29.myportfolio.com/)
14:53:38	37418/37418	---M--	200	added ('OK')	text/html	date:Wed,%2018%20Nov%202020%2007:53:37%20GMT	https://vietcuongtran29.myportfolio.com/yorn-login-screen	I:/Code/html/template/vietcuongtran29.myportfolio.com/vietcuongtran29.myportfolio.com/yorn-login-screen.html	(from https://vietcuongtran29.myportfolio.com/)
14:53:38	2111/2111	---M--	200	added ('OK')	image/png	etag:%22dff9ae52aab7a4f39ced901cea59475d%22	https://pro2-bar-s3-cdn-cf6.myportfolio.com/30362569-0eed-4a59-8214-12444cf2217b/0f11fd97-36b3-4b18-aaa1-b54124a42c64_carw_4x3x32.png?h=de3ddb71ded39fe0581d62c3b0f32b6a	I:/Code/html/template/vietcuongtran29.myportfolio.com/pro2-bar-s3-cdn-cf6.myportfolio.com/30362569-0eed-4a59-8214-12444cf2217b/0f11fd97-36b3-4b18-aaa1-b54124a42c64_carw_4x3x324c5b.png	(from https://vietcuongtran29.myportfolio.com/)
14:53:39	37422/37422	---M--	200	added ('OK')	text/html	date:Wed,%2018%20Nov%202020%2007:53:37%20GMT	https://vietcuongtran29.myportfolio.com/hayate-login-screen	I:/Code/html/template/vietcuongtran29.myportfolio.com/vietcuongtran29.myportfolio.com/hayate-login-screen.html	(from https://vietcuongtran29.myportfolio.com/)
14:53:39	2144/2144	---M--	200	added ('OK')	image/png	etag:%22ff03ef6823531535355e00c038f7eb4e%22	https://pro2-bar-s3-cdn-cf6.myportfolio.com/30362569-0eed-4a59-8214-12444cf2217b/727b9b14-26dc-47f6-aa77-ba225beec311_carw_4x3x32.png?h=ff7a91bef49313a0b855ad5d76a672b7	I:/Code/html/template/vietcuongtran29.myportfolio.com/pro2-bar-s3-cdn-cf6.myportfolio.com/30362569-0eed-4a59-8214-12444cf2217b/727b9b14-26dc-47f6-aa77-ba225beec311_carw_4x3x32ecfc.png	(from https://vietcuongtran29.myportfolio.com/)
14:53:39	37431/37431	---M--	200	added ('OK')	text/html	date:Wed,%2018%20Nov%202020%2007:53:38%20GMT	https://vietcuongtran29.myportfolio.com/laville-login-screen	I:/Code/html/template/vietcuongtran29.myportfolio.com/vietcuongtran29.myportfolio.com/laville-login-screen.html	(from https://vietcuongtran29.myportfolio.com/)
14:53:39	2121/2121	---M--	200	added ('OK')	image/png	etag:%22a81c0657ce6d753c9741fe04915c77ec%22	https://pro2-bar-s3-cdn-cf.myportfolio.com/30362569-0eed-4a59-8214-12444cf2217b/87212844-d7ea-4f57-84d4-aafb87955d86_carw_4x3x32.png?h=d95faaf86c4a73cc840b4ec9122023d8	I:/Code/html/template/vietcuongtran29.myportfolio.com/pro2-bar-s3-cdn-cf.myportfolio.com/30362569-0eed-4a59-8214-12444cf2217b/87212844-d7ea-4f57-84d4-aafb87955d86_carw_4x3x32b0ab.png	(from https://vietcuongtran29.myportfolio.com/)
14:53:39	141/141	---M--	200	added ('OK')	application/javascript	date:Wed,%2018%20Nov%202020%2007:53:38%20GMT	https://vietcuongtran29.myportfolio.com/site/translations?cb=1821048f5d7ee5ba2403403dff53a2f45ef4a513	I:/Code/html/template/vietcuongtran29.myportfolio.com/vietcuongtran29.myportfolio.com/site/translations602c	(from https://vietcuongtran29.myportfolio.com/)
14:53:41	78670/78670	---M--	200	added ('OK')	text/css	etag:%222a3e77e309034868ecc5cce3c80a4b4d%22	https://pro2-bar-s3-cdn-cf6.myportfolio.com/30362569-0eed-4a59-8214-12444cf2217b/01b05c35357b6d5d6d2b36724711a2301605682362.css?h=9a10ff37438f3a44d7efe33ee5ecb66f	I:/Code/html/template/vietcuongtran29.myportfolio.com/pro2-bar-s3-cdn-cf6.myportfolio.com/30362569-0eed-4a59-8214-12444cf2217b/01b05c35357b6d5d6d2b36724711a23016056823623ca9.css	(from https://vietcuongtran29.myportfolio.com/contact)
14:53:42	351662/351662	---M--	200	added ('OK')	application/javascript	etag:%225fae0092-55dae%22	https://vietcuongtran29.myportfolio.com/dist/js/main.js?cb=1821048f5d7ee5ba2403403dff53a2f45ef4a513	I:/Code/html/template/vietcuongtran29.myportfolio.com/vietcuongtran29.myportfolio.com/dist/js/main602c.js	(from https://vietcuongtran29.myportfolio.com/)
